offline_policy,online_policy,policy,n_cores,u_per_core,seed,n_tasks,total_utilization,solve_seconds,sim_seconds,offline_feasible,n_hard_jobs,n_soft_jobs,hard_miss_ratio,soft_miss_ratio,deadline_miss_ratio,acceptance_ratio,qos_mean,qos_weighted,qos_accepted,soft_response_mean_ticks,schedulable,energy_j,mean_chip_power_w,peak_chip_power_w,tdp_w,tdp_violation_ratio,mean_core_power_w,mean_core_busy_ratio,mean_core_level,sim_steps,horizon_ticks,tasks_per_core
ga,slack,ga+slack,16,0.5,0,32,7.99993,0.6435687899993354,0.02194418399994902,True,197,86,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5497.488372093023,True,8.797505446831952,43.987527234159764,57.035445362718086,59.2,0.0,2.624220452134986,0.6762993749999999,83.75,392,200000,2
ga,slack,ga+slack,16,0.5,1,32,7.999885,0.6244638780008245,0.024762224000369315,True,198,99,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5247.232323232323,True,8.975863775941235,44.87931887970618,57.45270890725436,59.2,0.0,2.6799574299816356,0.6735965625,83.75,420,200000,2
ga,slack,ga+slack,16,0.5,2,32,7.999975,0.6542682460003562,0.021737666000262834,True,169,88,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5567.613636363636,True,8.980978817263535,44.90489408631768,57.04683195592286,59.2,0.0,2.681555880394858,0.6577328125,83.125,368,200000,2
ga,slack,ga+slack,16,0.5,3,32,7.999925,0.6612559229997714,0.02329339800053276,True,196,83,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5220.21686746988,True,8.70470969917355,43.52354849586776,57.441322314049586,59.2,0.0,2.5952217809917335,0.670906875,84.375,385,200000,2
ga,slack,ga+slack,16,0.5,4,32,8.000035,0.6143283790006535,0.020331331001216313,True,205,71,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5782.915492957746,True,8.7647679963269,43.8238399816345,56.62956841138659,59.2,0.0,2.613989998852159,0.6410315625,83.125,371,200000,2
ga,slack,ga+slack,16,0.5,5,32,7.9998949999999995,0.8940815770001791,0.027005190000636503,True,252,85,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5598.729411764706,True,8.74199080991735,43.709954049586756,57.12910927456382,59.2,0.0,2.606872128099173,0.6709146874999999,83.125,446,200000,2
ga,slack,ga+slack,16,0.5,6,32,7.999875,0.6258661880001455,0.024242964998848038,True,222,90,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5734.9,True,8.769700173002759,43.8485008650138,56.95867768595041,59.2,0.0,2.6155313040633605,0.6795696874999999,83.125,426,200000,2
ga,slack,ga+slack,16,0.5,7,32,8.000045,0.6184435220002342,0.02525265400072385,True,253,86,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4974.860465116279,True,8.666868253443521,43.33434126721761,55.64187327823691,59.2,0.0,2.5833963292011006,0.674911875,82.5,448,200000,2
ga,slack,ga+slack,16,0.75,0,32,11.99993,1.1180152390006697,0.02995581499999389,True,242,91,0.0,0.04395604395604396,0.012012012012012012,1.0,0.9632182949036485,0.9632182949036485,0.9632182949036485,4656.288888888889,True,11.308767811202928,56.54383905601465,59.18310376492195,59.2,0.0,3.40898994100092,0.95063875,88.125,446,200000,2
ga,slack,ga+slack,16,0.75,1,32,11.99997,0.6469846260006307,0.024501797999619157,True,168,88,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3307.375,True,11.156664095500462,55.783320477502315,58.6949494949495,59.2,0.0,3.3614575298438947,0.9474134375000001,87.5,368,200000,2
ga,slack,ga+slack,16,0.75,2,32,12.000145,0.6297520600001008,0.02866304599956493,True,234,86,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3705.0581395348836,True,11.322927446831963,56.61463723415982,59.18310376492195,59.2,0.0,3.413414827134986,0.94891,88.125,430,200000,2
ga,slack,ga+slack,16,0.75,3,32,11.999825,0.6617343739999342,0.027405212000303436,True,269,82,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3821.317073170732,True,11.261525086134062,56.30762543067031,59.06556473829202,59.2,0.0,3.394226589416897,0.946289375,88.125,456,200000,2
ga,slack,ga+slack,16,0.75,4,32,12.0,1.6625513210001372,0.03691820299900428,True,240,74,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3727.445945945946,True,11.108289487603306,55.54144743801653,58.70376492194674,59.2,0.0,3.3463404648760338,0.938474375,87.5,412,200000,2
ga,slack,ga+slack,16,0.75,5,32,12.000055,1.6237833039995166,0.04023076700104866,True,254,77,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3517.3766233766232,True,11.132771058218546,55.66385529109274,59.18310376492195,59.2,0.0,3.3539909556932983,0.9341453125000001,88.125,432,200000,2
ga,slack,ga+slack,16,0.75,6,32,11.999929999999999,1.6739003530001355,0.04363182800079812,True,222,90,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3453.9,True,11.243376761799821,56.21688380899911,58.94802571166208,59.2,0.0,3.3885552380624433,0.9479953125,88.125,426,200000,2
ga,slack,ga+slack,16,0.75,7,32,11.99997,0.6450517729990679,0.025822187000812846,True,214,90,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3430.5222222222224,True,11.268803393939395,56.34401696969698,59.05674931129477,59.2,0.0,3.39650106060606,0.9450596874999999,88.125,418,200000,2
ga,slack,ga+slack,16,0.85,0,32,13.59997,1.6699239539993869,0.04960614799892937,True,238,81,0.0,0.8641975308641975,0.219435736677116,1.0,0.14574091216636761,0.14574091216636761,0.14574091216636761,34639.541666666664,True,11.82344383691459,59.11721918457295,59.17428833792471,59.2,0.0,3.569826199035813,0.9989543750000001,88.125,367,200000,2
