offline_policy,online_policy,policy,n_cores,u_per_core,seed,n_tasks,total_utilization,solve_seconds,sim_seconds,offline_feasible,n_hard_jobs,n_soft_jobs,hard_miss_ratio,soft_miss_ratio,deadline_miss_ratio,acceptance_ratio,qos_mean,qos_weighted,qos_accepted,soft_response_mean_ticks,schedulable,energy_j,mean_chip_power_w,peak_chip_power_w,tdp_w,tdp_violation_ratio,mean_core_power_w,mean_core_busy_ratio,mean_core_level,sim_steps,horizon_ticks
ga,slack,ga+slack,8,1.0,7,32,8.000045,0.5505988329987304,0.01715887599857524,False,253,40,0.023715415019762844,1.0,0.15699658703071673,1.0,0.0,0.0,0.0,0.0,False,7.600000000000003,38.00000000000002,38.0,30.400000000000002,1.0,4.4999999999999964,1.0,100.0,314,200000
ga,slack,ga+slack,16,0.25,0,64,3.99988,0.5618837669990171,0.026063379998959135,True,418,68,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4908.779411764706,True,5.292073311294764,26.460366556473826,42.5289256198347,59.2,0.0,1.5287729097796128,0.3992865625,70.0,578,200000
ga,slack,ga+slack,16,0.25,1,64,4.00008,1.5195791639998788,0.04729100000076869,True,397,81,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5062.506172839506,True,5.404028550964188,27.020142754820945,42.5289256198347,59.2,0.0,1.5637589221763077,0.4222909375,70.0,582,200000
ga,slack,ga+slack,16,0.25,2,64,4.000075,1.5814205669994408,0.05927467199944658,True,540,100,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5011.23,True,5.538768341597798,27.693841707988994,42.5289256198347,59.2,0.0,1.6058651067493108,0.4496190625,70.0,763,200000
ga,slack,ga+slack,16,0.25,3,64,4.000085,0.7082271109993599,0.025770795999051188,True,420,78,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5041.602564102564,True,5.300143269054179,26.5007163452709,42.12304866850321,59.2,0.0,1.5312947715794316,0.4215778124999999,69.375,599,200000
ga,slack,ga+slack,16,0.25,4,64,3.99996,1.571911065999302,0.051446146999296616,True,525,78,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5027.038461538462,True,5.29699501928374,26.4849750964187,42.12304866850321,59.2,0.0,1.5303109435261706,0.4213903125,69.375,705,200000
ga,slack,ga+slack,16,0.25,5,64,4.000055,1.5295288150009583,0.05436976200144272,True,420,93,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5270.709677419355,True,5.485034677685946,27.425173388429734,42.5289256198347,59.2,0.0,1.5890733367768588,0.4509109375,70.0,628,200000
ga,slack,ga+slack,16,0.25,6,64,3.99998,0.5558991719990445,0.03349648000039451,True,431,97,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4838.237113402062,True,5.489784661157023,27.448923305785115,42.5289256198347,59.2,0.0,1.5905577066115697,0.44028375,70.0,646,200000
ga,slack,ga+slack,16,0.25,7,64,3.99997,0.7540451759996358,0.030921637000574265,True,456,83,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5365.903614457831,True,5.3586046589531735,26.79302329476587,41.799449035812664,59.2,0.0,1.5495639559228667,0.4337540625,68.75,646,200000
ga,slack,ga+slack,16,0.5,0,64,7.999885,0.5455023020003864,0.025385470000401256,True,418,68,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4908.779411764706,True,8.428073639302097,42.14036819651049,55.91258034894398,59.2,0.0,2.50877301228191,0.6506865625,83.125,578,200000
ga,slack,ga+slack,16,0.5,1,64,7.999945,0.720894562000467,0.029349344000365818,True,397,81,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5023.20987654321,True,8.416800711845724,42.08400355922862,55.089439853076215,59.2,0.0,2.5052502224517905,0.685858125,82.5,582,200000
ga,slack,ga+slack,16,0.5,2,64,7.99995,0.5840287099999841,0.03975369799991313,True,540,100,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4724.38,True,8.427024271809,42.135121359045,54.41946740128558,59.2,0.0,2.5084450849403117,0.71538375,82.5,762,200000
ga,slack,ga+slack,16,0.5,3,64,8.00006,0.5689218869993056,0.02736072099833109,True,420,78,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5227.538461538462,True,8.491258312947659,42.4562915647383,56.19467401285583,59.2,0.0,2.5285182227961434,0.6661271875000001,83.125,600,200000
ga,slack,ga+slack,16,0.5,4,64,7.999765,1.5672597699995094,0.053900868000710034,True,525,78,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4749.294871794872,True,8.299605512213036,41.498027561065186,55.24260789715335,59.2,0.0,2.4686267225665746,0.67293625,83.125,704,200000
ga,slack,ga+slack,16,0.5,5,64,7.999855,0.6273251729999174,0.03495272100008151,True,420,93,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5543.935483870968,True,8.867249534986227,44.33624767493114,56.71184573002755,59.2,0.0,2.6460154796831983,0.685728125,83.125,629,200000
ga,slack,ga+slack,16,0.5,6,64,7.999915,0.557992854000986,0.03693359200042323,True,431,97,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4923.639175257732,True,8.585372754820936,42.92686377410468,55.38916437098255,59.2,0.0,2.5579289858815413,0.69881625,82.5,647,200000
ga,slack,ga+slack,16,0.5,7,64,8.000145,0.6472391549996246,0.029974917000799906,True,456,83,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5053.6626506024095,True,8.415323287786958,42.07661643893479,54.412855831037646,59.2,0.0,2.5047885274334214,0.6934856249999999,81.25,644,200000
ga,slack,ga+slack,16,0.75,0,64,12.000125,1.0377644620002684,0.03644031899966649,True,490,73,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3849.6301369863013,True,11.12586752727272,55.6293376363636,58.81248852157943,59.2,0.0,3.3518336022727273,0.941864375,87.5,658,200000
ga,slack,ga+slack,16,0.75,1,64,11.99981,0.5539353809999739,0.031213487000059104,True,397,81,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3581.8518518518517,True,11.174058419100076,55.87029209550038,59.06556473829202,59.2,0.0,3.366893255968778,0.9412925,88.125,583,200000
ga,slack,ga+slack,16,0.75,2,64,12.00016,0.5952968930014322,0.04493813200133445,True,540,100,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3500.7,True,11.392157257300276,56.96078628650139,59.17428833792471,59.2,0.0,3.4350491429063363,0.9600784375,88.125,753,200000
ga,slack,ga+slack,16,0.75,3,64,12.00003,0.5639793950012972,0.035205865000534686,True,456,83,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3310.759036144578,True,11.134943079522484,55.674715397612424,59.17428833792471,59.2,0.0,3.3546697123507814,0.9368996875,88.125,646,200000
ga,slack,ga+slack,16,0.75,4,64,11.999915,0.6762445839995053,0.03790316000049643,True,525,78,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3508.974358974359,True,11.108429827364562,55.542149136822815,58.80367309458219,59.2,0.0,3.346384321051424,0.9405281249999999,87.5,703,200000
ga,slack,ga+slack,16,0.75,5,64,12.00013,0.6725087289996736,0.0658177750010509,True,503,88,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3904.2727272727275,True,11.319632732415062,56.598163662075315,58.93002754820937,59.2,0.0,3.4123852288797023,0.957301875,87.5,702,200000
ga,slack,ga+slack,16,0.75,6,64,11.999955,1.5880228580008406,0.06470985499981907,True,431,97,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3497.865979381443,True,11.328380302662985,56.641901513314934,59.17428833792471,59.2,0.0,3.415118844582185,0.9532553125000001,88.125,649,200000
ga,slack,ga+slack,16,0.75,7,64,12.00004,0.5643259879998368,0.03378781399987929,True,456,83,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3600.843373493976,True,11.178715128007353,55.893575640036765,58.79485766758494,59.2,0.0,3.3683484775022956,0.9463890625,87.5,645,200000
