update,steps,episode_return,policy_loss,value_loss,entropy,approx_kl
69,158976,-18.56420191843224,-0.00030925946066417964,0.032459208043292165,1.6407861486077309,0.0007441528119645421
70,161280,-18.82554634947566,-0.000490221508180691,0.030372016597539186,1.6753120124340057,0.0018695029748414527
71,163584,-19.019275116683634,-0.0012456639636866385,0.03306170192081481,1.9585711285471916,0.0009920363281455333
72,165888,-19.121943403672773,1.020630178850783e-05,0.029863208415918052,1.6931705102324486,0.0011779499598358395
73,168192,-18.64777625387259,-0.0006956496302513715,0.031571490108035505,1.7627776935696602,0.0006368599002194563
74,170496,-18.578752963389363,-0.0011059237385906417,0.030041294754482806,1.6854245588183403,0.0009922106849494915
75,172800,-18.71856192306142,-0.0017029400430854172,0.027652941294945776,1.648882582783699,0.003235745394843232
76,175104,-18.79971470654114,-0.00017520874786214335,0.029550287406891584,1.9512261897325516,0.0006291014779233389
77,177408,-19.030093191752496,-0.00256759949317914,0.027883175178430974,1.6805056631565094,0.0021208664616602212
78,179712,-19.559212698201332,-0.0014994947879990311,0.0406855430919677,1.7354594841599464,0.0017354524507027236
79,182016,-19.764752361957658,-0.0006145195190280645,0.025012253667227924,1.6219209283590317,0.0008506336338945791
80,184320,-19.34088463337868,-0.0016929993905958063,0.022301710792817175,1.6065972670912743,0.0036355191833889774
81,186624,-19.929272699551962,-3.382724379563662e-05,0.03332558914553374,1.8858627378940582,0.0009563232674862678
82,188928,-19.434450049477494,-0.0004542017753313629,0.029619584558531642,1.6169733628630638,0.001428938020682027
83,191232,-18.63183703494351,-9.398552798403279e-05,0.027969428803771734,1.7190798670053482,0.0008952234029998684
84,193536,-18.255915541738233,-0.00014380275560044176,0.02970471337903291,1.6346019580960274,0.00035066634838029935
85,195840,-17.974997437597512,-0.001014120708229413,0.026283693499863148,1.6042943447828293,0.002492498246712986
86,198144,-18.247036425180486,-0.000963790480454918,0.031061279238201678,1.9168632701039314,0.0023445899489868477
87,200448,-17.703588567604974,-0.0018749621627117963,0.034215756924822927,1.613177202641964,0.0032973790495734387
88,202752,-18.46120091370019,-0.0007409956207311552,0.03865174646489322,1.6960767731070518,0.0038042756674359327
89,205056,-19.42604736576682,-0.0003890811599881472,0.03183381643611938,1.5800461322069168,0.000530309290474583
90,207360,-19.129549457900186,-0.0011980682794753839,0.022918208851478994,1.5654741525650024,0.002552981026557037
91,209664,-18.91745121838651,-0.0014287669055698116,0.038225301541388035,1.875888541340828,0.0025289326102387755
92,211968,-18.94164175791894,-0.0017219102069753328,0.02755218045786023,1.6136266365647316,0.0020359378339283776
