config,generation,best_cost
"16 cores, u=0.75",42,0.45267403843815607
"16 cores, u=0.75",43,0.45267403843815607
"16 cores, u=0.75",44,0.45267403843815607
"16 cores, u=0.75",45,0.45267403843815607
"16 cores, u=0.75",46,0.45267403843815607
"16 cores, u=0.75",47,0.45267403843815607
"16 cores, u=0.75",48,0.45267403843815607
"16 cores, u=0.75",49,0.45267403843815607
"16 cores, u=0.75",50,0.45267403843815607
"16 cores, u=0.75",51,0.45267403843815607
"16 cores, u=0.75",52,0.45267403843815607
"16 cores, u=0.75",53,0.4452937520739566
"16 cores, u=0.75",54,0.4452937520739566
"16 cores, u=0.75",55,0.4452937520739566
"16 cores, u=0.75",56,0.4452937520739566
"16 cores, u=0.75",57,0.4452937520739566
"16 cores, u=0.75",58,0.4452937520739566
"16 cores, u=0.75",59,0.4452937520739566
"16 cores, u=0.75",60,0.4452937520739566
"16 cores, u=0.75",61,0.4452937520739566
"16 cores, u=0.75",62,0.4452937520739566
"16 cores, u=0.75",63,0.4452937520739566
"16 cores, u=0.75",64,0.4452937520739566
"16 cores, u=0.75",65,0.4452937520739566
"16 cores, u=0.75",66,0.4446664073199911
"16 cores, u=0.75",67,0.4446664073199911
"16 cores, u=0.75",68,0.4446664073199911
"16 cores, u=0.75",69,0.4446664073199911
"16 cores, u=0.75",70,0.4446664073199911
"16 cores, u=0.75",71,0.4446664073199911
"16 cores, u=0.75",72,0.4446664073199911
"16 cores, u=0.75",73,0.4446664073199911
"16 cores, u=0.75",74,0.44363801768301203
"16 cores, u=0.75",75,0.44363801768301203
"16 cores, u=0.75",76,0.44363801768301203
"16 cores, u=0.75",77,0.44363801768301203
"16 cores, u=0.75",78,0.44363801768301203
"16 cores, u=0.75",79,0.4403380376862035
"16 cores, u=0.75",80,0.4403380376862035
"32 cores, u=0.75",0,0.5068793802847525
"32 cores, u=0.75",1,0.5068793802847525
"32 cores, u=0.75",2,0.5068793802847525
"32 cores, u=0.75",3,0.5068793802847525
"32 cores, u=0.75",4,0.5068793802847525
"32 cores, u=0.75",5,0.5068793802847525
"32 cores, u=0.75",6,0.5068793802847525
"32 cores, u=0.75",7,0.5068793802847525
"32 cores, u=0.75",8,0.5068793802847525
"32 cores, u=0.75",9,0.5068793802847525
"32 cores, u=0.75",10,0.5068793802847525
"32 cores, u=0.75",11,0.5068793802847525
"32 cores, u=0.75",12,0.5068793802847525
"32 cores, u=0.75",13,0.5068793802847525
"32 cores, u=0.75",14,0.5068793802847525
"32 cores, u=0.75",15,0.5068793802847525
"32 cores, u=0.75",16,0.5068793802847525
"32 cores, u=0.75",17,0.5068793802847525
"32 cores, u=0.75",18,0.5068793802847525
"32 cores, u=0.75",19,0.5068793802847525
"32 cores, u=0.75",20,0.5068793802847525
"32 cores, u=0.75",21,0.5068793802847525
"32 cores, u=0.75",22,0.5068793802847525
"32 cores, u=0.75",23,0.5068793802847525
"32 cores, u=0.75",24,0.5068793802847525
"32 cores, u=0.75",25,0.5068793802847525
"32 cores, u=0.75",26,0.5068793802847525
"32 cores, u=0.75",27,0.5068793802847525
"32 cores, u=0.75",28,0.5068793802847525
"32 cores, u=0.75",29,0.5068793802847525
"32 cores, u=0.75",30,0.5068793802847525
"32 cores, u=0.75",31,0.5068793802847525
"32 cores, u=0.75",32,0.5068793802847525
"32 cores, u=0.75",33,0.5068793802847525
"32 cores, u=0.75",34,0.5068793802847525
"32 cores, u=0.75",35,0.5068793802847525
"32 cores, u=0.75",36,0.5068793802847525
"32 cores, u=0.75",37,0.5068793802847525
"32 cores, u=0.75",38,0.5068793802847525
"32 cores, u=0.75",39,0.5068793802847525
"32 cores, u=0.75",40,0.5068793802847525
"32 cores, u=0.75",41,0.5068793802847525
"32 cores, u=0.75",42,0.5068793802847525
"32 cores, u=0.75",43,0.5068793802847525
"32 cores, u=0.75",44,0.5068793802847525
"32 cores, u=0.75",45,0.5068793802847525
"32 cores, u=0.75",46,0.5068793802847525
"32 cores, u=0.75",47,0.5068793802847525
"32 cores, u=0.75",48,0.4996089393052099
"32 cores, u=0.75",49,0.4996089393052099
"32 cores, u=0.75",50,0.4996089393052099
"32 cores, u=0.75",51,0.4996089393052099
"32 cores, u=0.75",52,0.4942963924750895
"32 cores, u=0.75",53,0.4942963924750895
"32 cores, u=0.75",54,0.4942963924750895
"32 cores, u=0.75",55,0.4942963924750895
"32 cores, u=0.75",56,0.4942963924750895
"32 cores, u=0.75",57,0.4942963924750895
"32 cores, u=0.75",58,0.4942963924750895
"32 cores, u=0.75",59,0.4942963924750895
"32 cores, u=0.75",60,0.4923896770690083
"32 cores, u=0.75",61,0.4923896770690083
"32 cores, u=0.75",62,0.4923896770690083
"32 cores, u=0.75",63,0.4923896770690083
"32 cores, u=0.75",64,0.4923896770690083
"32 cores, u=0.75",65,0.4923896770690083
"32 cores, u=0.75",66,0.4923896770690083
"32 cores, u=0.75",67,0.4923896770690083
"32 cores, u=0.75",68,0.4923896770690083
"32 cores, u=0.75",69,0.4923896770690083
"32 cores, u=0.75",70,0.4923896770690083
"32 cores, u=0.75",71,0.4923896770690083
"32 cores, u=0.75",72,0.4923896770690083
"32 cores, u=0.75",73,0.4923896770690083
"32 cores, u=0.75",74,0.49076067067907425
"32 cores, u=0.75",75,0.4892811036232004
"32 cores, u=0.75",76,0.48535595064581205
"32 cores, u=0.75",77,0.48348478436434683
"32 cores, u=0.75",78,0.48348478436434683
"32 cores, u=0.75",79,0.48348478436434683
"32 cores, u=0.75",80,0.48348478436434683
